Country_code,Country,DESIGN,Designation,DOMAIN_CODE,Domain,MEASURE_CODE,Measure,Year
FIN,Finland,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,2004
FIN,Finland,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,2005
FIN,Finland,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,2006
FIN,Finland,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,2007
FIN,Finland,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,2008
FIN,Finland,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,2009
FIN,Finland,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,2010
FIN,Finland,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,2011
FIN,Finland,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,2012
FIN,Finland,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,2013
FIN,Finland,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,2014
FIN,Finland,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,2015
FIN,Finland,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,2016
FIN,Finland,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,2017
FIN,Finland,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,2018
FIN,Finland,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,2019
